iter	RMSE
192	17820.36024
193	17781.35546
194	17736.96078
195	17707.12464
196	17660.98643
197	17630.67196
198	17594.74943
199	17551.22112
200	17493.95863
201	17473.33316
202	17437.98806
203	17417.03302
204	17386.57896
205	17346.99961
206	17294.30052
207	17272.54242
208	17227.21689
209	17175.17948
210	17153.87366
211	17110.81481
212	17058.47842
213	17014.79248
214	16987.73359
215	16934.76071
216	16895.78758
217	16856.4606
218	16837.80436
219	16795.092
220	16755.79892
221	16711.08441
222	16660.09605
223	16610.98224
224	16560.44229
225	16522.86838
226	16480.10388
227	16422.8277
228	16385.02637
229	16375.9515
230	16323.73782
231	16277.42727
232	16232.5164
233	16217.91067
234	16168.03213
235	16114.77185
236	16086.69931
237	16043.49944
238	15996.39969
239	15978.43793
240	15925.19385
241	15878.23886
242	15870.75572
243	15837.6151
244	15797.24868
245	15750.98143
246	15722.17527
247	15708.06877
248	15660.23503
249	15611.26294
250	15575.77445
251	15537.95219
252	15482.58375
253	15441.81037
254	15401.99905
255	15370.47082
256	15331.41634
257	15292.36236
258	15251.51153
259	15204.8126
260	15176.02431
261	15145.3399
262	15135.81267
263	15108.95208
264	15043.84188
265	15006.37253
266	14968.91016
267	14936.03462
268	14911.88316
269	14877.44922
270	14845.24021
271	14814.16414
272	14808.58654
273	14767.89218
274	14738.34862
275	14732.24733
276	14694.15453
277	14664.39128
278	14630.05567
279	14577.71329
280	14545.48381
281	14518.16893
282	14476.41063
283	14437.92805
284	14407.24303
285	14400.767
286	14377.96224
287	14371.66094
288	14334.78354
289	14299.99951
290	14283.41359
291	14252.18493
292	14225.43117
293	14191.32075
294	14162.79304
295	14158.10465
296	14131.41155
297	14097.66154
298	14069.24035
299	14042.98455
300	14010.88004
301	14000.49114
302	13968.97342
303	13942.67132
304	13938.20762
305	13906.48033
306	13884.62626
307	13857.73988
308	13822.60607
309	13791.55557
310	13750.42951
311	13735.33303
312	13729.93491
313	13697.84166
314	13693.62149
315	13688.45492
316	13684.3761
317	13666.56275
318	13645.18641
319	13622.77142
320	13596.39126
321	13572.29474
322	13541.78361
323	13527.72796
324	13501.84835
325	13497.97414
326	13472.66897
327	13452.20836
328	13447.97568
329	13434.08049
330	13410.36487
331	13374.36034
332	13361.75495
333	13358.10137
334	13333.94359
335	13305.12781
336	13290.0306
337	13263.08522
338	13225.21554
339	13209.6362
340	13186.07729
341	13168.15175
342	13144.92516
343	13114.26065
344	13096.6401
345	13092.28765
346	13076.05653
347	13059.62664
348	13054.8375
349	13044.89133
350	13040.49511
351	13009.71668
352	13000.49088
353	12978.85975
354	12975.61724
355	12948.37507
356	12945.19744
357	12933.45586
358	12910.94019
359	12887.82215
360	12854.70231
361	12822.89331
362	12799.09662
363	12777.47609
364	12751.14663
365	12729.95751
366	12709.65049
367	12685.64113
368	12659.03643
369	12637.35581
370	12620.18986
371	12609.29088
372	12587.0426
373	12561.9546
374	12528.47997
375	12511.9386
376	12495.81675
377	12470.63197
378	12466.58437
379	12431.03275
380	12400.82313
381	12365.00209
382	12339.18875
383	12317.322
384	12292.2885
385	12264.06257
386	12253.01064
387	12250.04199
388	12235.26082
389	12219.34997
390	12202.86201
391	12174.29238
392	12144.6054
393	12116.98992
394	12093.88341
395	12083.0047
396	12057.64464
397	12037.81082
398	12013.68165
399	12004.92573
400	11976.12614
401	11972.78158
402	11951.76461
403	11920.14826
404	11900.76543
405	11865.06206
406	11840.0199
407	11820.26427
408	11792.61756
409	11784.45736
410	11767.54075
411	11756.206
412	11736.24591
413	11710.97761
414	11680.39779
415	11651.60699
416	11648.38061
417	11645.83388
418	11625.12223
419	11604.86612
420	11575.71923
421	11549.99559
422	11529.26926
423	11502.22679
424	11485.10185
425	11470.96048
426	11448.791
427	11426.16044
428	11400.9206
429	11398.35606
430	11375.49107
431	11350.44734
432	11335.18318
433	11317.24198
434	11298.39899
435	11285.2536
436	11269.57162
437	11267.09888
438	11256.62563
439	11226.24531
440	11202.96875
441	11168.76554
442	11145.80465
443	11130.55712
444	11116.28696
445	11103.02071
446	11076.30098
447	11058.51836
448	11032.93475
449	11015.75981
450	11013.35554
451	10993.74007
452	10973.22594
453	10965.99338
454	10958.12011
455	10942.63186
456	10922.42453
457	10904.63474
458	10879.44987
459	10875.38865
460	10859.78152
461	10839.7751
462	10821.65921
463	10807.29293
464	10795.21229
465	10777.52676
466	10749.91869
467	10747.07878
468	10732.4539
469	10708.47929
470	10683.79412
471	10653.4997
472	10635.34835
473	10617.17261
474	10593.68932
475	10582.18056
476	10562.21354
477	10542.86475
478	10528.46771
479	10519.27462
480	10507.36465
481	10495.05717
482	10489.06529
483	10472.35445
484	10463.76922
485	10450.2117
486	10437.60083
487	10431.61501
488	10413.63302
489	10384.9842
490	10375.43379
491	10372.97537
492	10361.83304
493	10351.12732
494	10337.41946
495	10318.06084
496	10300.07775
497	10280.75374
498	10258.51198
499	10242.83861
500	10223.09409
501	10201.81279
502	10178.53758
503	10176.04932
504	10159.24752
505	10133.67943
506	10113.93625
507	10095.20909
508	10081.94313
509	10076.68333
510	10060.33891
511	10042.45066
512	10023.46954
513	10011.29005
514	9994.202194
515	9974.011687
516	9964.754249
517	9948.764609
518	9929.791526
519	9915.424836
520	9910.269021
521	9904.480911
522	9882.590272
523	9867.656977
524	9849.49283
525	9829.866545
526	9815.400802
527	9796.953941
528	9773.145783
529	9759.494171
530	9751.813066
531	9746.875715
532	9720.116171
533	9700.235161
534	9678.948251
535	9663.873736
536	9660.199871
537	9640.730968
538	9617.836993
539	9602.010007
540	9577.347111
541	9564.642901
542	9543.889482
543	9537.594895
544	9525.822568
545	9521.483268
546	9500.206998
547	9490.613822
548	9483.685002
549	9465.888614
550	9448.08613
551	9423.881087
552	9408.899679
553	9391.327082
554	9375.123724
555	9369.178916
556	9351.797794
557	9345.53596
558	9328.903985
559	9314.504787
560	9312.708924
561	9298.657723
562	9274.158543
563	9250.51473
564	9229.849818
565	9227.897174
566	9216.733481
567	9202.173524
568	9184.874393
569	9178.470261
570	9168.345921
571	9160.719303
572	9145.845707
573	9128.893228
574	9116.57331
575	9101.969148
576	9095.209291
577	9080.602563
578	9069.37232
579	9058.629279
580	9042.748404
581	9023.055277
582	9013.635366
583	9000.03614
584	8974.884694
585	8960.452926
586	8947.777106
587	8935.99212
588	8919.759645
589	8906.17507
590	8890.507881
591	8880.685854
592	8865.970069
593	8844.800445
594	8830.968557
595	8813.659552
596	8809.311536
597	8797.291283
598	8792.225411
599	8775.450184
600	8773.848176
601	8760.079503
602	8745.242791
603	8729.218616
604	8710.324595
605	8705.222603
606	8692.934511
607	8676.422044
608	8666.622727
609	8648.985457
610	8626.937965
611	8611.449242
612	8602.087444
613	8582.367192
614	8566.531801
615	8553.225192
616	8546.879829
617	8533.047587
618	8520.853698
619	8509.145936
620	8504.281031
621	8488.0461
622	8471.188607
623	8453.349414
624	8441.50753
625	8432.824044
626	8418.679008
627	8406.328615
628	8399.564624
629	8384.635452
630	8372.565121
631	8359.916783
632	8348.519326
633	8334.80451
634	8320.886696
635	8313.90818
636	8296.217149
637	8286.202991
638	8269.419162
639	8258.133674
640	8253.122199
641	8239.725439
642	8238.35867
643	8221.023792
644	8219.722468
645	8202.072341
646	8187.17366
647	8176.689359
648	8161.056715
649	8155.813168
650	8154.237311
651	8139.677433
652	8127.428625
653	8111.878741
654	8097.715357
655	8096.279468
656	8074.73709
657	8056.745654
658	8046.073443
659	8042.281806
660	8040.828287
661	8033.092319
662	8030.101843
663	8019.282145
664	8015.516318
665	8006.163206
666	7992.494778
667	7986.902985
668	7973.655424
669	7967.220287
670	7965.90207
671	7958.921348
672	7954.210922
673	7941.030292
674	7931.057018
675	7916.565512
676	7907.418783
677	7902.714505
678	7898.842185
679	7891.302665
680	7880.600946
681	7876.727316
682	7859.531766
683	7855.318717
684	7842.398797
685	7833.891003
686	7822.348597
687	7813.967473
688	7809.139934
689	7807.699651
690	7802.712363
691	7798.961304
692	7797.744289
693	7788.825127
694	7778.789281
695	7767.839753
696	7763.894671
697	7762.612146
698	7754.261992
699	7750.485079
700	7735.044316
701	7727.442579
702	7711.180827
703	7700.299422
704	7698.74635
705	7686.595252
706	7682.840168
707	7661.556095
708	7648.335395
709	7634.200463
710	7614.580698
711	7600.257294
712	7590.603699
713	7579.953566
714	7568.283474
715	7560.3472
716	7546.029785
717	7531.014629
718	7528.52806
719	7522.428639
720	7519.081913
721	7511.30953
722	7498.407083
723	7482.966299
724	7475.074888
725	7459.464985
726	7455.972161
727	7442.635696
728	7431.595659
729	7430.312
730	7418.855874
731	7405.198375
732	7393.800528
733	7388.319213
734	7380.658752
735	7369.448408
736	7367.842587
737	7356.670193
738	7345.333546
739	7332.212978
740	7329.363983
741	7319.569068
742	7303.210807
743	7297.368295
744	7296.255048
745	7282.372597
746	7278.908183
747	7270.148923
748	7259.022665
749	7245.813963
750	7244.606292
751	7235.664427
752	7228.970481
753	7213.848486
754	7209.992759
755	7198.673019
756	7197.462466
757	7185.46665
758	7172.323915
759	7160.371084
760	7150.412317
761	7140.262781
762	7130.393192
763	7112.552241
764	7102.506454
765	7091.826519
766	7083.881054
767	7070.050243
768	7057.114382
769	7048.617707
770	7043.988147
771	7032.853639
772	7023.735109
773	7021.413358
774	7011.353908
775	7007.448695
776	6998.554729
777	6980.53444
778	6969.061836
779	6954.24422
780	6953.046154
781	6951.89432
782	6937.685092
783	6921.900316
784	6915.970085
785	6908.861315
786	6899.960208
787	6892.27044
788	6886.606045
789	6879.231571
790	6868.938687
791	6850.171109
792	6842.056953
793	6831.785816
794	6823.947526
795	6811.965325
796	6799.135081
797	6789.581583
798	6785.588415
799	6774.361054
800	6767.271864
801	6766.212141
802	6748.919431
803	6738.228802
804	6737.191706
805	6734.30385
806	6732.04277
807	6719.622481
808	6706.399039
809	6694.590879
810	6691.513867
811	6686.104861
812	6685.046192
813	6682.227001
814	6672.029384
815	6663.344322
816	6657.769615
817	6651.593631
818	6648.4419
819	6636.521341
820	6635.534697
821	6626.455306
822	6612.54369
823	6610.131084
824	6604.091129
825	6599.709777
826	6598.449826
827	6587.0317
828	6576.901119
829	6566.565327
830	6565.579129
831	6555.036911
832	6554.046217
833	6544.57921
834	6535.031662
835	6524.541775
836	6519.032495
837	6518.059006
838	6506.311501
839	6505.359226
840	6490.291867
841	6477.772664
842	6474.045987
843	6467.316614
844	6460.217772
845	6450.240076
846	6437.477998
847	6428.334931
848	6413.27782
849	6409.202695
850	6400.842581
851	6392.797623
852	6386.218662
853	6374.206557
854	6371.676024
855	6363.552313
856	6355.655181
857	6340.855052
858	6329.488519
859	6320.708637
860	6306.798001
861	6297.251772
862	6287.797468
863	6281.633539
864	6275.47367
865	6272.258506
866	6260.612684
867	6250.037683
868	6240.179241
869	6227.16318
870	6225.626838
871	6216.138251
872	6209.444778
873	6201.95033
874	6193.306194
875	6184.068229
876	6172.484645
877	6163.192603
878	6161.722474
879	6159.304056
880	6146.440911
881	6141.232628
882	6132.758987
883	6129.601447
884	6121.837831
885	6113.449935
886	6107.713043
887	6097.678855
888	6090.122156
889	6087.208125
890	6086.325905
891	6075.595035
892	6070.655196
893	6069.800175
894	6061.358641
895	6051.844574
896	6041.277883
897	6034.136758
898	6023.398803
899	6014.41528
900	6010.976398
901	5993.574374
902	5981.266782
903	5972.500366
904	5964.222664
905	5956.00333
906	5949.754465
907	5940.639615
908	5927.950195
909	5919.026715
910	5918.180076
911	5913.876272
912	5907.385591
913	5906.579397
914	5897.861091
915	5887.368904
916	5876.020622
917	5875.214088
918	5871.012394
919	5864.979823
920	5854.581925
921	5845.831831
922	5837.628538
923	5829.045152
924	5826.313111
925	5818.983155
926	5810.071691
927	5803.487433
928	5797.69078
929	5789.916486
930	5781.992281
931	5779.940123
932	5772.933649
933	5768.865103
934	5762.329543
935	5753.466823
936	5742.538609
937	5737.626579
938	5727.361701
939	5719.105019
940	5710.257752
941	5701.379766
942	5698.564396
943	5688.47575
944	5681.738834
945	5675.427237
946	5668.427522
947	5662.183874
948	5654.795449
949	5646.129062
950	5635.41491
951	5629.775367
952	5622.150576
953	5618.432409
954	5602.007706
955	5591.087511
956	5583.828439
957	5577.650352
958	5576.878712
959	5561.884027
960	5553.193161
961	5545.580085
962	5537.952968
963	5532.794295
964	5527.384111
965	5522.012043
966	5516.354802
967	5511.318665
968	5502.987055
969	5493.449267
970	5490.751826
971	5485.860567
972	5478.141236
973	5470.61791
974	5468.128628
975	5457.882835
976	5451.177539
977	5443.910527
978	5438.152412
979	5429.816644
980	5421.334612
981	5413.563921
982	5407.179208
983	5406.45131
984	5397.611187
985	5388.003799
986	5384.294024
987	5373.75319
988	5364.647009
989	5358.429524
990	5353.423274
991	5347.477006
992	5342.031379
993	5338.911692
994	5333.006887
995	5332.317825
996	5323.413162
997	5317.550983
998	5308.399366
999	5299.42274
